feature,coef,se,p_value,ci_lower,ci_upper
const,0.4594958646337543,0.00995626047759689,0.0,0.439981873247305,0.47900985602020363
ai_chat_engaged,0.047934896138783586,0.004954944972437021,3.9122379482329063e-22,0.03822334291756811,0.05764644935999906
daily_request_volume,7.262874215634077e-05,5.029873951058998e-06,3.0302807333756144e-47,6.27703302378549e-05,8.248715407482665e-05
service_enc,0.03620828533286987,0.00038269901078309026,0.0,0.03545820600169648,0.03695836466404326
country_enc,0.0008447018800240431,0.00035406758623214774,0.017046900899960388,0.00015073933821409832,0.0015386644218339878
hour_of_day,-0.00021733059153404476,0.0003365407572161042,0.5184236851690843,-0.000876941039882751,0.0004422798568146614
funnel_depth,1.315422558301848,0.00635886764997033,0.0,1.3029593559952886,1.3278857606084074
page_hits_log,-1.1953552830570744,0.01281739045780216,0.0,-1.2204770089855104,-1.1702335571286384
is_weekend,0.0010931052567634077,0.0011344146382103503,0.3352546688731723,-0.0011303156278659506,0.0033165261413927657
hour_bin,0.002583478983749182,0.0018924947553362853,0.1722169437431829,-0.0011257576757005396,0.006292715643198904
vol_x_depth,-0.00028564110751930455,2.4880393519360564e-06,0.0,-0.00029051759489044914,-0.00028076462014815995
depth_per_hit,-1.5820958924219193,0.01757324996069692,0.0,-1.6165389696331465,-1.547652815210692
ai_x_depth,-0.0015983325449586891,0.0020823976823504983,0.44275855325000657,-0.005679773616934118,0.0024831085270167396
demand_zscore,0.0751823532438584,0.0006407933255340419,0.0,0.07392641629211809,0.07643829019559871
